"k","cutoff","error"
"26_NN","0.65",0.845563310069791
"27_NN","0.65",0.862811565304088
"28_NN","0.65",0.838484546360917
"29_NN","0.65",0.853040877367896
"30_NN","0.65",0.870887337986042
"31_NN","0.65",0.853140578265204
"32_NN","0.65",0.870388833499501
"33_NN","0.65",0.885244267198405
"34_NN","0.65",0.862612163509472
"35_NN","0.65",0.874975074775673
"36_NN","0.65",0.888733798604187
"37_NN","0.65",0.875772681954138
"38_NN","0.65",0.887637088733799
"39_NN","0.65",0.900897308075773
"20_NN","0.7",0.855732801595214
"21_NN","0.7",0.880857427716849
"22_NN","0.7",0.898205383848455
"23_NN","0.7",0.8740777666999
"24_NN","0.7",0.893419740777667
"25_NN","0.7",0.908673978065803
"26_NN","0.7",0.881954137587238
"27_NN","0.7",0.896809571286142
"28_NN","0.7",0.90827517447657
"29_NN","0.7",0.917048853439681
"30_NN","0.7",0.900099700897308
"31_NN","0.7",0.912362911266201
"32_NN","0.7",0.919441674975075
"33_NN","0.7",0.903589232303091
"34_NN","0.7",0.91296111665005
"35_NN","0.7",0.923629112662014
"36_NN","0.7",0.914257228315055
"37_NN","0.7",0.918045862412762
"38_NN","0.7",0.927517447657029
"39_NN","0.7",0.934995014955135
"20_NN","0.75",0.910667996011964
"21_NN","0.75",0.922333000997009
"22_NN","0.75",0.935493519441675
"23_NN","0.75",0.944267198404786
"24_NN","0.75",0.921435692921236
"25_NN","0.75",0.930907278165503
"26_NN","0.75",0.939481555333998
"27_NN","0.75",0.947557328015952
"28_NN","0.75",0.929710867397807
"29_NN","0.75",0.939082751744766
"30_NN","0.75",0.947756729810568
"31_NN","0.75",0.952442671984048
"32_NN","0.75",0.940179461615155
"33_NN","0.75",0.949052841475573
"34_NN","0.75",0.957826520438684
"35_NN","0.75",0.963409770687936
"36_NN","0.75",0.952941176470588
"37_NN","0.75",0.956231306081755
"38_NN","0.75",0.960319042871386
"39_NN","0.75",0.964905284147557
"20_NN","0.8",0.948155533399801
"21_NN","0.8",0.95752741774676
"22_NN","0.8",0.967796610169491
"23_NN","0.8",0.976071784646062
"24_NN","0.8",0.985343968095713
"25_NN","0.8",0.961515453639083
"26_NN","0.8",0.966001994017946
"27_NN","0.8",0.974277168494516
"28_NN","0.8",0.983848454636092
"29_NN","0.8",0.9901296111665
"30_NN","0.8",0.972083748753739
"31_NN","0.8",0.981455633100698
"32_NN","0.8",0.985543369890329
"33_NN","0.8",0.988235294117647
"34_NN","0.8",0.992422731804586
"35_NN","0.8",0.980358923230309
"36_NN","0.8",0.984945164506481
"37_NN","0.8",0.988833499501495
"38_NN","0.8",0.994117647058824
"39_NN","0.8",1
