	 CustomerID Product Probability
224         1247374       1       0.840
441         1250081       1       0.816
1429        1452379       2       0.787
3090         718497       1       0.785
357         1249330       1       0.783
2544 22714268156046       1       0.741
3211         719814       1       0.718
365         1249384       1       0.703
765         1394122       1       0.689
1712        1459381       2       0.681
